annotation_id,participant_id,video_id,start_timestamp,stop_timestamp,start_sample,stop_sample,class
P01_02_31,P01,P01_02,00:02:32.607,00:02:33.342,3662568,3680208,metal-only-collision
P01_02_33,P01,P01_02,00:02:45.079,00:02:46.599,3961896,3998375,metal-only-collision
P01_02_36,P01,P01_02,00:03:08.829,00:03:09.620,4531896,4550880,metal-only-collision
P01_02_37,P01,P01_02,00:03:15.728,00:03:16.108,4697472,4706592,metal-only-collision
P01_02_38,P01,P01_02,00:03:20.120,00:03:26.578,4802880,4957872,metal-only-collision
P01_02_39,P01,P01_02,00:03:32.079,00:03:38.537,5089896,5244888,metal-only-collision
P01_02_40,P01,P01_02,00:03:46.329,00:03:47.989,5431896,5471736,metal-only-collision
P01_02_41,P01,P01_02,00:03:50.808,00:03:51.620,5539392,5558880,metal-ceramic-collision
P01_02_42,P01,P01_02,00:03:56.308,00:03:57.933,5671392,5710392,metal-only-collision
P01_02_43,P01,P01_02,00:04:00.925,00:04:01.808,5782200,5803392,metal-only-collision
P01_02_45,P01,P01_02,00:04:13.154,00:04:14.694,6075696,6112656,metal-only-collision
P01_02_47,P01,P01_02,00:04:19.333,00:04:20.612,6223992,6254688,metal-only-collision
P01_02_48,P01,P01_02,00:04:24.189,00:04:24.536,6340536,6348864,metal-only-collision
P01_02_49,P01,P01_02,00:04:32.979,00:04:34.139,6551496,6579336,metal-only-collision
P01_02_50,P01,P01_02,00:04:40.341,00:04:46.801,6728184,6883224,metal-only-collision
P01_02_51,P01,P01_02,00:04:49.279,00:04:51.099,6942696,6986376,metal-only-collision
P01_02_52,P01,P01_02,00:05:00.095,00:05:00.995,7202280,7223880,metal-only-collision
P01_02_65,P01,P01_02,00:07:15.055,00:07:17.212,10441320,10493088,metal-only-collision
P01_02_66,P01,P01_02,00:07:19.812,00:07:20.523,10555488,10572552,metal-only-collision
P01_02_72,P01,P01_02,00:07:57.396,00:07:57.996,11457504,11471904,plastic-only-collision
P01_03_16,P01,P01_03,00:01:17.856,00:01:18.961,1868543,1895064,metal-only-collision
P01_04_15,P01,P01_04,00:00:47.862,00:00:52.008,1148688,1248192,metal-plastic-collision
P01_04_16,P01,P01_04,00:00:56.591,00:00:57.411,1358184,1377864,metal-only-collision
P01_04_23,P01,P01_04,00:01:38.591,00:01:40.216,2366184,2405184,metal-glass-collision
P01_05_6,P01,P01_05,00:00:25.577,00:00:27.258,613848,654192,metal-ceramic-collision
P01_05_10,P01,P01_05,00:00:43.622,00:00:44.855,1046928,1076520,ceramic-only-collision
P01_05_12,P01,P01_05,00:00:46.814,00:00:47.554,1123536,1141296,metal-only-collision
P01_05_13,P01,P01_05,00:00:50.493,00:00:51.424,1211832,1234176,metal-only-collision
P01_05_14,P01,P01_05,00:00:54.508,00:00:55.887,1308192,1341288,metal-only-collision
P01_05_15,P01,P01_05,00:00:56.395,00:00:58.247,1353480,1397928,metal-only-collision
P01_05_16,P01,P01_05,00:01:01.101,00:01:01.601,1466424,1478424,metal-only-collision
P01_05_17,P01,P01_05,00:01:02.122,00:01:08.258,1490928,1638192,ceramic-only-collision
P01_05_19,P01,P01_05,00:01:18.112,00:01:19.383,1874687,1905192,metal-plastic-collision
P01_05_20,P01,P01_05,00:01:19.716,00:01:20.416,1913183,1929984,metal-only-collision
P01_05_23,P01,P01_05,00:01:29.758,00:01:30.273,2154192,2166552,metal-only-collision
P01_05_30,P01,P01_05,00:01:52.195,00:01:52.835,2692680,2708040,metal-plastic-collision
P01_05_31,P01,P01_05,00:01:53.029,00:01:53.729,2712696,2729496,metal-wood-collision
P01_05_32,P01,P01_05,00:01:55.237,00:01:57.841,2765688,2828184,metal-only-collision
P01_05_34,P01,P01_05,00:01:58.685,00:02:00.605,2848440,2894520,metal-only-collision
P01_05_35,P01,P01_05,00:02:01.940,00:02:21.906,2926560,3405744,metal-plastic-collision
P01_05_37,P01,P01_05,00:02:11.021,00:02:11.667,3144503,3160008,metal-only-collision
P01_05_40,P01,P01_05,00:02:30.428,00:02:30.828,3610272,3619872,plastic-only-collision
P01_05_41,P01,P01_05,00:02:32.063,00:02:32.683,3649511,3664392,metal-only-collision
P01_05_43,P01,P01_05,00:02:35.500,00:02:36.539,3732000,3756935,metal-only-collision
P01_05_52,P01,P01_05,00:03:04.769,00:03:08.041,4434456,4512984,metal-only-collision
P01_05_54,P01,P01_05,00:03:11.426,00:03:13.261,4594224,4638264,metal-only-collision
P01_05_56,P01,P01_05,00:03:15.421,00:03:16.381,4690104,4713144,metal-only-collision
P01_05_61,P01,P01_05,00:03:21.296,00:03:21.942,4831104,4846608,metal-only-collision
P01_05_71,P01,P01_05,00:04:51.315,00:04:51.998,6991560,7007952,metal-only-collision
P01_05_73,P01,P01_05,00:04:55.279,00:04:55.640,7086696,7095360,metal-only-collision
P01_05_81,P01,P01_05,00:05:41.444,00:05:43.486,8194656,8243664,metal-only-collision
P01_05_87,P01,P01_05,00:06:05.845,00:06:06.845,8780280,8804280,metal-only-collision
P01_05_90,P01,P01_05,00:06:39.754,00:06:40.719,9594096,9617256,metal-only-collision
P01_05_94,P01,P01_05,00:06:50.302,00:06:54.573,9847248,9949752,metal-plastic-collision
P01_05_99,P01,P01_05,00:07:08.249,00:07:09.158,10277976,10299792,metal-plastic-collision
P01_05_106,P01,P01_05,00:07:22.172,00:07:23.065,10612128,10633560,metal-paper-collision
P01_05_107,P01,P01_05,00:07:27.075,00:07:27.708,10729800,10744992,plastic-paper-collision
P01_05_115,P01,P01_05,00:08:00.804,00:08:01.804,11539296,11563296,plastic-paper-collision
P01_05_118,P01,P01_05,00:08:10.402,00:08:10.859,11769648,11780616,plastic-paper-collision
P01_05_122,P01,P01_05,00:08:23.156,00:08:26.614,12075744,12158736,metal-plastic-collision
P01_05_124,P01,P01_05,00:08:28.156,00:08:28.696,12195744,12208704,metal-wood-collision
P01_05_126,P01,P01_05,00:08:40.324,00:08:45.490,12487775,12611760,plastic-only-collision
P01_05_134,P01,P01_05,00:09:25.947,00:09:28.513,13582728,13644312,metal-glass-collision
P01_05_144,P01,P01_05,00:10:38.409,00:10:38.749,15321816,15329976,metal-paper-collision
P01_05_149,P01,P01_05,00:11:03.564,00:11:09.744,15925536,16073856,metal-paper-collision
P01_05_152,P01,P01_05,00:11:27.296,00:11:28.413,16495104,16521912,metal-wood-collision
P01_05_153,P01,P01_05,00:11:34.785,00:11:46.514,16674840,16956336,metal-plastic-collision
P01_05_160,P01,P01_05,00:13:01.483,00:13:03.348,18755592,18800352,metal-only-collision
P01_05_161,P01,P01_05,00:13:08.759,00:13:09.659,18930216,18951816,metal-only-collision
P01_05_165,P01,P01_05,00:13:20.081,00:13:20.547,19201944,19213128,metal-only-collision
P01_05_172,P01,P01_05,00:15:50.642,00:15:50.982,22815408,22823568,metal-only-collision
P01_05_173,P01,P01_05,00:15:51.546,00:15:55.986,22837104,22943664,metal-wood-collision
P01_05_174,P01,P01_05,00:16:09.892,00:16:10.252,23277408,23286048,glass-only-collision
P01_05_175,P01,P01_05,00:16:12.038,00:16:16.718,23328912,23441232,metal-wood-collision
P01_05_178,P01,P01_05,00:16:19.744,00:16:20.324,23513856,23527776,metal-only-collision
P01_05_179,P01,P01_05,00:17:38.530,00:17:38.804,25404720,25411296,metal-only-collision
P01_05_182,P01,P01_05,00:18:40.832,00:18:41.112,26899968,26906688,wood-only-collision
P01_05_185,P01,P01_05,00:19:45.006,00:19:47.386,28440144,28497264,metal-ceramic-collision
P01_05_186,P01,P01_05,00:19:49.573,00:19:50.433,28549752,28570392,metal-only-collision
P01_05_188,P01,P01_05,00:19:56.940,00:19:57.935,28726560,28750440,metal-ceramic-collision
P01_05_191,P01,P01_05,00:20:10.643,00:20:11.643,29055432,29079432,metal-ceramic-collision
P01_05_195,P01,P01_05,00:20:23.588,00:20:25.600,29366112,29414399,metal-only-collision
P01_05_198,P01,P01_05,00:20:29.559,00:20:30.165,29509416,29523960,metal-only-collision
P01_05_201,P01,P01_05,00:20:42.970,00:20:43.726,29831280,29849424,metal-glass-collision
P01_05_203,P01,P01_05,00:20:46.341,00:20:47.847,29912183,29948328,metal-only-collision
P01_05_204,P01,P01_05,00:20:56.115,00:20:58.255,30146760,30198120,metal-glass-collision
P01_05_205,P01,P01_05,00:21:07.296,00:21:07.555,30415104,30421320,metal-ceramic-collision
P01_05_206,P01,P01_05,00:21:08.447,00:21:09.269,30442727,30462456,metal-ceramic-collision
P01_06_0,P01,P01_06,00:00:01.488,00:00:03.289,35712,78936,metal-ceramic-collision
P01_06_3,P01,P01_06,00:00:11.077,00:00:12.077,265848,289848,metal-only-collision
P01_06_6,P01,P01_06,00:00:14.832,00:00:15.474,355968,371376,metal-ceramic-collision
P01_06_11,P01,P01_06,00:00:25.650,00:00:26.434,615600,634416,metal-plastic-collision
P01_06_22,P01,P01_06,00:01:09.466,00:01:11.386,1667183,1713264,metal-only-collision
P01_06_23,P01,P01_06,00:01:13.362,00:01:14.562,1760687,1789488,metal-only-collision
P01_06_24,P01,P01_06,00:01:32.174,00:01:34.154,2212176,2259696,metal-plastic-collision
P01_06_26,P01,P01_06,00:01:47.404,00:01:49.084,2577696,2618016,metal-only-collision
P01_06_28,P01,P01_06,00:02:02.341,00:02:02.904,2936184,2949696,metal-glass-collision
P01_06_29,P01,P01_06,00:02:02.780,00:02:03.184,2946720,2956416,metal-only-collision
P01_06_33,P01,P01_06,00:02:06.538,00:02:06.938,3036912,3046512,metal-only-collision
P01_06_35,P01,P01_06,00:02:21.416,00:02:22.559,3393984,3421416,metal-ceramic-collision
P01_06_36,P01,P01_06,00:02:23.915,00:02:24.364,3453960,3464736,metal-only-collision
P01_06_38,P01,P01_06,00:02:27.600,00:02:27.954,3542400,3550896,metal-only-collision
P01_06_39,P01,P01_06,00:02:32.539,00:02:32.805,3660935,3667320,metal-only-collision
P01_06_41,P01,P01_06,00:02:39.746,00:02:42.538,3833904,3900912,metal-plastic-collision
P01_06_43,P01,P01_06,00:02:48.637,00:02:48.941,4047288,4054584,metal-ceramic-collision
P01_06_44,P01,P01_06,00:02:51.809,00:02:55.413,4123416,4209912,metal-ceramic-collision
P01_06_45,P01,P01_06,00:02:55.809,00:02:56.100,4219416,4226400,plastic-only-collision
P01_06_47,P01,P01_06,00:03:13.559,00:03:14.454,4645416,4666896,metal-ceramic-collision
P01_06_50,P01,P01_06,00:03:27.434,00:03:29.871,4978416,5036904,metal-only-collision
P01_06_52,P01,P01_06,00:03:34.765,00:03:36.163,5154360,5187912,metal-only-collision
P01_06_54,P01,P01_06,00:03:40.288,00:03:40.517,5286912,5292408,metal-plastic-collision
P01_06_56,P01,P01_06,00:03:45.216,00:03:46.156,5405184,5427744,metal-only-collision
P01_06_58,P01,P01_06,00:03:56.017,00:03:56.674,5664408,5680176,metal-plastic-collision
P01_06_59,P01,P01_06,00:03:59.725,00:04:00.258,5753400,5766192,metal-only-collision
P01_06_61,P01,P01_06,00:04:13.164,00:04:13.784,6075936,6090816,metal-only-collision
P01_06_62,P01,P01_06,00:04:14.934,00:04:16.309,6118416,6151416,metal-only-collision
P01_06_64,P01,P01_06,00:04:30.979,00:04:31.879,6503496,6525096,metal-only-collision
P01_06_66,P01,P01_06,00:04:42.469,00:04:43.634,6779256,6807216,metal-only-collision
P01_06_67,P01,P01_06,00:04:45.955,00:04:46.893,6862920,6885431,metal-plastic-collision
P01_06_68,P01,P01_06,00:04:53.764,00:04:54.164,7050336,7059936,metal-only-collision
P01_06_69,P01,P01_06,00:04:58.109,00:05:00.975,7154615,7223400,metal-only-collision
P01_06_72,P01,P01_06,00:05:10.726,00:05:13.455,7457424,7522920,metal-ceramic-collision
P01_06_73,P01,P01_06,00:05:16.205,00:05:17.539,7588920,7620936,metal-only-collision
P01_06_74,P01,P01_06,00:05:21.018,00:05:22.143,7704431,7731431,metal-only-collision
P01_06_75,P01,P01_06,00:05:25.393,00:05:25.976,7809431,7823424,metal-only-collision
P01_06_76,P01,P01_06,00:05:27.309,00:05:28.393,7855416,7881431,metal-only-collision
P01_06_77,P01,P01_06,00:05:34.035,00:05:35.324,8016840,8047776,metal-only-collision
P01_06_78,P01,P01_06,00:05:39.213,00:05:39.838,8141112,8156112,metal-only-collision
P01_06_80,P01,P01_06,00:05:41.789,00:05:42.226,8202936,8213424,metal-only-collision
P01_06_81,P01,P01_06,00:05:43.921,00:05:44.664,8254104,8271936,metal-only-collision
P01_06_84,P01,P01_06,00:06:28.798,00:06:29.714,9331152,9353136,metal-only-collision
P01_06_85,P01,P01_06,00:06:36.339,00:06:36.589,9512136,9518136,metal-only-collision
P01_06_86,P01,P01_06,00:06:41.298,00:06:43.069,9631152,9673656,metal-only-collision
P01_06_90,P01,P01_06,00:07:06.839,00:07:07.777,10244136,10266648,metal-cloth-collision
P01_06_94,P01,P01_06,00:08:07.798,00:08:10.048,11707152,11761152,wood-glass-collision
P01_07_2,P01,P01_07,00:00:13.130,00:00:13.987,315120,335688,metal-plastic-collision
P01_07_3,P01,P01_07,00:00:15.216,00:00:16.112,365184,386687,metal-only-collision
P01_07_4,P01,P01_07,00:00:16.508,00:00:17.029,396192,408696,metal-only-collision
P01_07_5,P01,P01_07,00:00:17.362,00:00:18.549,416687,445176,metal-only-collision
P01_07_7,P01,P01_07,00:00:22.383,00:00:23.779,537192,570696,metal-only-collision
P01_07_8,P01,P01_07,00:00:24.174,00:00:25.445,580176,610680,metal-only-collision
P01_07_9,P01,P01_07,00:00:26.008,00:00:28.924,624192,694176,metal-only-collision
P01_07_11,P01,P01_07,00:00:36.320,00:00:36.700,871680,880800,glass-only-collision
P01_07_12,P01,P01_07,00:00:39.466,00:00:42.050,947184,1009199,metal-only-collision
P01_07_13,P01,P01_07,00:00:44.716,00:00:45.133,1073184,1083192,plastic-only-collision
P01_07_14,P01,P01_07,00:00:46.825,00:00:47.674,1123800,1144176,metal-ceramic-collision
P01_07_15,P01,P01_07,00:00:48.258,00:00:50.112,1158192,1202688,plastic-only-collision
P01_07_18,P01,P01_07,00:01:07.237,00:01:08.487,1613687,1643687,metal-only-collision
P01_07_20,P01,P01_07,00:01:09.987,00:01:10.836,1679687,1700064,metal-only-collision
P01_07_22,P01,P01_07,00:01:15.029,00:01:15.279,1800696,1806696,metal-only-collision
P01_07_23,P01,P01_07,00:01:16.362,00:01:20.633,1832687,1935192,metal-only-collision
P01_07_25,P01,P01_07,00:01:26.779,00:01:28.174,2082696,2116176,ceramic-only-collision
P01_07_27,P01,P01_07,00:01:34.154,00:01:37.987,2259696,2351688,metal-only-collision
P01_08_1,P01,P01_08,00:00:07.474,00:00:07.704,179376,184896,paper-only-collision
P01_08_2,P01,P01_08,00:00:08.564,00:00:08.864,205536,212736,paper-only-collision
P01_08_4,P01,P01_08,00:00:23.285,00:00:29.404,558840,705696,metal-ceramic-collision
P01_08_6,P01,P01_08,00:00:37.134,00:00:42.064,891216,1009536,metal-glass-collision
P01_08_7,P01,P01_08,00:00:47.195,00:00:47.695,1132680,1144680,metal-only-collision
P01_08_12,P01,P01_08,00:01:25.094,00:01:25.504,2042255,2052096,glass-only-collision
P01_08_14,P01,P01_08,00:01:29.544,00:01:29.944,2149056,2158656,glass-only-collision
P01_08_15,P01,P01_08,00:01:30.594,00:01:32.654,2174256,2223696,metal-only-collision
P01_09_3,P01,P01_09,00:00:10.677,00:00:11.293,256248,271032,paper-only-collision
P01_09_11,P01,P01_09,00:01:06.299,00:01:07.820,1591176,1627679,metal-wood-collision
P01_09_15,P01,P01_09,00:01:59.419,00:02:01.299,2866056,2911176,plastic-only-collision
P01_09_29,P01,P01_09,00:02:57.933,00:02:58.348,4270392,4280352,paper-only-collision
P01_09_35,P01,P01_09,00:03:11.585,00:03:15.094,4598040,4682256,wood-only-collision
P01_09_37,P01,P01_09,00:03:20.374,00:03:20.772,4808976,4818528,plastic-only-collision
P01_09_44,P01,P01_09,00:04:02.756,00:04:03.714,5826144,5849136,plastic-only-collision
P01_09_46,P01,P01_09,00:04:07.631,00:04:08.444,5943144,5962656,plastic-wood-collision
P01_09_50,P01,P01_09,00:04:20.631,00:04:21.006,6255143,6264143,plastic-only-collision
P01_09_52,P01,P01_09,00:04:27.159,00:04:27.606,6411816,6422544,plastic-wood-collision
P01_09_53,P01,P01_09,00:04:31.089,00:04:31.548,6506136,6517152,plastic-only-collision
P01_09_54,P01,P01_09,00:04:34.959,00:04:37.609,6599016,6662615,plastic-wood-collision
P01_09_55,P01,P01_09,00:04:40.881,00:04:41.589,6741143,6758136,plastic-wood-collision
P01_09_56,P01,P01_09,00:04:43.923,00:04:44.319,6814152,6823656,plastic-wood-collision
P01_09_57,P01,P01_09,00:04:46.069,00:04:46.631,6865656,6879143,plastic-only-collision
P01_09_58,P01,P01_09,00:04:47.589,00:04:49.027,6902136,6936648,plastic-wood-collision
P01_09_59,P01,P01_09,00:04:50.089,00:04:51.110,6962136,6986640,plastic-wood-collision
P01_09_60,P01,P01_09,00:04:51.798,00:04:52.131,7003152,7011143,plastic-wood-collision
P01_09_61,P01,P01_09,00:04:52.509,00:04:52.964,7020216,7031136,plastic-wood-collision
P01_09_62,P01,P01_09,00:04:53.881,00:04:56.152,7053143,7107648,plastic-wood-collision
P01_09_63,P01,P01_09,00:04:57.089,00:04:58.423,7130136,7162152,plastic-only-collision
P01_09_64,P01,P01_09,00:05:06.069,00:05:09.424,7345656,7426175,plastic-only-collision
P01_09_65,P01,P01_09,00:05:12.799,00:05:13.124,7507175,7514976,plastic-only-collision
